Date,^HSI,^GSPC,^FTSE,XWD.TO,XEM.TO
2020-02-12,27823.66015625,3379.449951171875,7534.39990234375,56.68478012084961,31.740140914916992
2020-02-13,27730.0,3373.93994140625,7452.0,56.56838607788086,31.345911026000977
2020-02-14,27815.599609375,3380.159912109375,7409.10009765625,56.51988983154297,31.24014663696289
2020-02-17,27959.599609375,,7433.2998046875,,
2020-02-18,27530.19921875,3370.2900390625,7382.0,56.31619644165039,31.14398765563965
2020-02-19,27655.810546875,3386.14990234375,7457.0,56.48108673095703,31.31706428527832
2020-02-20,27609.16015625,3373.22998046875,7436.60009765625,56.3549919128418,30.8747615814209
2020-02-21,27308.810546875,3337.75,7403.89990234375,55.67601776123047,30.807456970214844
2020-02-24,26820.880859375,3225.889892578125,7156.7998046875,54.04647445678711,29.605539321899414
2020-02-25,26893.23046875,3128.2099609375,7017.89990234375,52.669124603271484,29.41323471069336
2020-02-26,26696.490234375,3116.389892578125,7042.5,52.620628356933594,29.672847747802734
2020-02-27,26778.619140625,2978.760009765625,6796.39990234375,52.10654830932617,29.59592628479004
2020-02-28,26129.9296875,2954.219970703125,6580.60009765625,50.68069839477539,29.134387969970703
2020-03-02,26291.6796875,3090.22998046875,6654.89990234375,51.99985122680664,29.45169448852539
2020-03-03,26284.8203125,3003.3701171875,6718.2001953125,50.99108123779297,29.40361976623535
2020-03-04,26222.0703125,3130.1201171875,6815.60009765625,53.0377082824707,29.961305618286133
2020-03-05,26767.869140625,3023.93994140625,6705.39990234375,51.5633659362793,29.605539321899414
2020-03-06,26146.669921875,2972.3701171875,6462.60009765625,50.612796783447266,28.71131706237793
2020-03-09,25040.4609375,2746.56005859375,5965.7998046875,47.59620666503906,27.499786376953125
2020-03-10,25392.509765625,2882.22998046875,5960.2001953125,49.943519592285156,28.797855377197266
2020-03-11,25231.609375,2741.3798828125,5876.5,47.47981262207031,27.567094802856445
2020-03-12,24309.0703125,2480.639892578125,5237.5,43.1634635925293,24.961345672607422
2020-03-13,24032.91015625,2711.02001953125,5366.10009765625,46.296451568603516,26.682485580444336
2020-03-16,23063.5703125,2386.1298828125,5151.10009765625,41.77641677856445,23.894046783447266
2020-03-17,23263.73046875,2529.18994140625,5294.89990234375,45.05489730834961,25.595956802368164
2020-03-18,22291.8203125,2398.10009765625,5080.60009765625,42.85307312011719,23.86520004272461
2020-03-19,21709.130859375,2409.389892578125,5151.60009765625,43.69694519042969,24.278657913208008
2020-03-20,22805.0703125,2304.919921875,5190.7998046875,41.80551528930664,24.18250274658203
2020-03-23,21696.130859375,2237.39990234375,4993.89990234375,41.107139587402344,23.797893524169922
2020-03-24,22663.490234375,2447.330078125,5446.0,44.76390838623047,25.461341857910156
2020-03-25,23527.189453125,2475.56005859375,5688.2001953125,44.7251091003418,26.153644561767578
2020-03-26,23352.33984375,2630.070068359375,5815.7001953125,46.5777473449707,26.461334228515625
2020-03-27,23484.279296875,2541.469970703125,5510.2998046875,45.00640106201172,24.999807357788086
2020-03-30,23175.109375,2626.64990234375,5563.7001953125,46.78143310546875,25.634416580200195
2020-03-31,23603.48046875,2584.590087890625,5672.0,45.995765686035156,25.672880172729492
