Date,^HSI,^GSPC,^FTSE,XWD.TO,XEM.TO
2021-07-19,96.30830306955895,130.71473845400766,90.00697076836282,123.690595355332,114.64771598487687
2021-07-20,95.50066161307139,132.6967149809572,90.48959502378575,124.87469381589978,114.89412931563501
2021-07-21,95.37919823909242,133.79037741920544,92.03082446030804,124.74715363655345,114.12405912165764
2021-07-22,97.12831598569126,134.06018845406012,91.63631081972923,124.94754776331129,114.61689779806157
2021-07-23,95.7204329299243,135.42028966392323,92.41613663527895,126.09518404142239,112.92276259513163
2021-07-26,91.7627564597426,135.74288785935772,92.38720306652165,126.07695999194424,110.5201455123043
2021-07-27,87.88835469303248,135.10320699236536,92.0018973126712,125.7673060693197,108.73359179359143
2021-07-28,89.2457597301051,135.07804241467838,92.27148163373337,125.63977997347374,111.0745965325635
2021-07-29,92.19367739037743,135.64620132531445,93.08417716487754,125.53046384360556,110.98219003166825
2021-07-30,90.95244638087591,134.91289144294947,92.47793991963069,125.002191744745,110.18132568065089
2021-08-02,91.91508689924007,134.66427320907718,93.1275775180135,,
2021-08-03,91.77151501524331,135.7689816829152,93.44318843047654,126.53239222689363,111.65984170986269
2021-08-04,92.5833646839441,135.14004709478021,93.68252285308874,126.36843211559174,112.5531365915506
2021-08-05,91.80609078160666,135.95162345998105,93.63649626168788,126.2591441527243,111.7522602256456
2021-08-06,91.7174925186198,136.17937862527666,93.67068872809547,126.96957224536416,111.50584689488745
2021-08-09,92.08184842744926,136.0513825005317,93.79298538822673,127.18819042160014,112.18348655819426
2021-08-10,93.21071674954678,136.18643789632523,94.17040600616197,126.80564030106298,111.59824138089508
2021-08-11,93.4017969545134,136.36017689843806,94.94759916232631,127.06066432575417,112.02947972833137
2021-08-12,92.9031203859348,136.92557804713584,94.59385321549807,127.51608247720321,111.10540270449114
2021-08-13,92.46098439868616,137.1456594400814,94.92918980999005,127.73467248643846,110.73577670091011
2021-08-16,91.7247114842864,137.50509773793078,94.07835282336025,128.13546073995414,110.33533251051378
2021-08-17,90.19864951285325,136.53421565728334,94.43473142957386,127.86219858228442,108.73359179359143
2021-08-18,90.62305626783443,135.0666816345195,94.27955221160725,127.51608247720321,109.28804281385065
2021-08-19,88.6937928254019,135.23641888425448,92.82774329850132,128.75481083570435,108.45636027601802
2021-08-20,87.0590631821666,136.33745533812035,93.20910648439418,129.41060903041085,108.36395377512275
2021-08-23,87.96949449860075,137.49956722621758,93.48658236249202,128.88232284804994,108.67197944973617
2021-08-24,90.13576582140675,137.70523032033353,93.70750743276798,128.57264075842468,110.88978353077299
